Kategorie: Alle Kategorien,year,week,year_week
0,2016,35,2016-35
39,2016,36,2016-36
25,2016,37,2016-37
23,2016,38,2016-38
34,2016,39,2016-39
13,2016,40,2016-40
22,2016,41,2016-41
0,2016,42,2016-42
30,2016,43,2016-43
17,2016,44,2016-44
15,2016,45,2016-45
15,2016,46,2016-46
25,2016,47,2016-47
25,2016,48,2016-48
18,2016,49,2016-49
11,2016,50,2016-50
0,2016,51,2016-51
25,2017,52,2017-52
37,2017,1,2017-1
22,2017,2,2017-2
33,2017,3,2017-3
15,2017,4,2017-4
42,2017,5,2017-5
17,2017,6,2017-6
19,2017,7,2017-7
44,2017,8,2017-8
18,2017,9,2017-9
38,2017,10,2017-10
38,2017,11,2017-11
25,2017,12,2017-12
57,2017,13,2017-13
14,2017,14,2017-14
48,2017,15,2017-15
60,2017,16,2017-16
46,2017,17,2017-17
29,2017,18,2017-18
34,2017,19,2017-19
34,2017,20,2017-20
24,2017,21,2017-21
37,2017,22,2017-22
29,2017,23,2017-23
23,2017,24,2017-24
46,2017,25,2017-25
33,2017,26,2017-26
26,2017,27,2017-27
54,2017,28,2017-28
31,2017,29,2017-29
39,2017,30,2017-30
46,2017,31,2017-31
42,2017,32,2017-32
65,2017,33,2017-33
70,2017,34,2017-34
60,2017,35,2017-35
44,2017,36,2017-36
69,2017,37,2017-37
38,2017,38,2017-38
54,2017,39,2017-39
48,2017,40,2017-40
42,2017,41,2017-41
87,2017,42,2017-42
58,2017,43,2017-43
53,2017,44,2017-44
49,2017,45,2017-45
69,2017,46,2017-46
53,2017,47,2017-47
82,2017,48,2017-48
88,2017,49,2017-49
63,2017,50,2017-50
24,2017,51,2017-51
46,2017,52,2017-52
70,2018,1,2018-1
85,2018,2,2018-2
53,2018,3,2018-3
53,2018,4,2018-4
62,2018,5,2018-5
61,2018,6,2018-6
59,2018,7,2018-7
68,2018,8,2018-8
54,2018,9,2018-9
92,2018,10,2018-10
71,2018,11,2018-11
74,2018,12,2018-12
78,2018,13,2018-13
79,2018,14,2018-14
84,2018,15,2018-15
94,2018,16,2018-16
72,2018,17,2018-17
81,2018,18,2018-18
92,2018,19,2018-19
83,2018,20,2018-20
67,2018,21,2018-21
60,2018,22,2018-22
72,2018,23,2018-23
63,2018,24,2018-24
96,2018,25,2018-25
79,2018,26,2018-26
63,2018,27,2018-27
77,2018,28,2018-28
68,2018,29,2018-29
73,2018,30,2018-30
79,2018,31,2018-31
70,2018,32,2018-32
85,2018,33,2018-33
66,2018,34,2018-34
74,2018,35,2018-35
53,2018,36,2018-36
61,2018,37,2018-37
60,2018,38,2018-38
58,2018,39,2018-39
65,2018,40,2018-40
80,2018,41,2018-41
74,2018,42,2018-42
77,2018,43,2018-43
100,2018,44,2018-44
79,2018,45,2018-45
